entropy,energy,hybrid,mc_dropout,ensemble
0.12480651,13.034149,6.579478,0.12075336,0.1705583
0.0042208442,19.447058,9.725639,0.0051971213,0.016765473
0.008118996,16.281687,8.144903,0.017567232,0.038985945
0.13675028,15.087911,7.6123304,0.16424915,0.1022072
0.042212505,23.082077,11.562145,0.039832734,0.08096424
0.013734557,12.520311,6.267023,0.024444563,0.05508946
0.006803239,20.307146,10.156975,0.024498962,0.045672704
0.021351503,15.018519,7.5199356,0.037312206,0.055592526
0.15200244,21.52669,10.839346,0.16854557,0.14441547
0.009249702,15.09907,7.5541596,0.027206397,0.023475256
0.003464921,21.447569,10.725517,0.016102057,0.016768109
0.0569107,17.927141,8.992026,0.06711435,0.08738602
0.018781105,18.882792,9.450787,0.032697722,0.07273743
0.03886494,21.962204,11.000534,0.075164765,0.034306698
0.0065233647,23.389837,11.69818,0.013958472,0.009097913
0.041626852,24.836067,12.438847,0.04793618,0.0830878
0.10412113,17.263893,8.684007,0.124861345,0.19930062
0.13941708,21.493902,10.81666,0.1462251,0.16307893
0.067133784,18.134203,9.100668,0.09686062,0.045554228
0.034765147,29.739836,14.8873005,0.04461061,0.054865114
0.09764866,13.086339,6.591994,0.11588268,0.0821686
0.021597397,16.445513,8.233555,0.015226694,0.03498406
0.015250106,17.379063,8.697156,0.031521887,0.030506367
0.013613627,21.960365,10.986989,0.026753278,0.031046245
0.05887558,19.291079,9.674977,0.08837911,0.09824649
0.004133638,23.351938,11.678036,0.0049902345,0.015923398
0.0367591,18.489414,9.263086,0.053671308,0.018379379
0.046693727,18.848522,9.447608,0.06502787,0.056847967
0.06642099,13.920766,6.993593,0.07584746,0.07677814
0.015986744,33.774498,16.895243,0.02973258,0.07413977
0.010247742,24.36398,12.187114,0.05667273,0.066362694
0.058024485,22.728693,11.393359,0.08338482,0.08727456
0.0634581,21.410746,10.737102,0.100966886,0.08581997
0.034135915,10.85635,5.445243,0.057283744,0.10150011
0.009953046,20.193579,10.101766,0.00689518,0.0020390628
0.111393064,17.442919,8.777156,0.13032788,0.18257265
0.009984797,16.742699,8.376342,0.0137660485,0.021247085
0.048101936,17.149876,8.598989,0.050658837,0.051010627
0.028108168,20.973146,10.5006275,0.046566453,0.010714795
0.079520024,17.935108,9.007314,0.102266446,0.05482616
0.059412286,11.008054,5.533733,0.07568815,0.08874275
0.006509326,22.757946,11.382228,0.017373793,0.028470445
0.027751694,20.29257,10.160161,0.045255635,0.047267027
0.045231797,14.690048,7.36764,0.06900862,0.06194357
0.0023196123,22.290571,11.146445,0.008954238,0.064744145
0.05915419,22.11174,11.085447,0.07594965,0.09294698
0.109265745,17.473146,8.791206,0.08118575,0.11812768
0.06719223,18.884367,9.47578,0.10289434,0.061373755
0.19791104,14.575731,7.3868213,0.22073862,0.24464881
0.03564587,23.913897,11.9747715,0.053888686,0.04424574
0.064350985,18.263268,9.163809,0.1002003,0.062242292
0.029855719,18.607695,9.318775,0.038823374,0.084176645
0.076237366,13.180491,6.6283646,0.16601847,0.08938099
0.07268476,15.780419,7.926552,0.09062224,0.055330224
0.07536643,16.074223,8.074795,0.087848224,0.0754454
0.11015204,18.977467,9.543809,0.15051359,0.19684687
0.16726325,11.529635,5.848449,0.20552312,0.17300303
0.076561965,29.813353,14.944958,0.085479245,0.020723067
0.09365226,21.991997,11.042825,0.10068728,0.14141053
0.1097098,22.41576,11.262735,0.15473947,0.15099138
0.030563496,14.624797,7.32768,0.027080411,0.06828527
0.07245539,19.89897,9.985712,0.126712,0.19708161
0.048120078,15.585228,7.816674,0.052814476,0.054465868
0.08312505,13.954233,7.018679,0.099211305,0.14120507
0.18893844,12.952786,6.5708623,0.21945205,0.10693614
0.079585984,18.856356,9.467971,0.115618095,0.0944474
0.08985592,15.957615,8.023735,0.10214411,0.17970254
0.04884809,19.796854,9.922851,0.03734652,0.046014752
0.08152535,26.511335,13.296431,0.07341911,0.21118489
0.11232974,18.069748,9.091039,0.09676656,0.0940061
0.13730107,22.603199,11.37025,0.13123433,0.12446094
0.01515253,32.240875,16.128014,0.030801201,0.018887002
0.14786193,25.212349,12.680105,0.18687268,0.15703222
0.02734633,16.37363,8.200488,0.0491776,0.141745
0.072597146,15.943549,8.008073,0.09092875,0.040875122
0.08102786,19.38584,9.733434,0.112503275,0.0752869
0.18425758,11.7844925,5.984375,0.19013983,0.21802719
0.108279966,13.750143,6.9292116,0.11636634,0.16416226
0.00952563,25.160723,12.585124,0.007769555,0.019863928
0.079282574,16.943314,8.511298,0.081897534,0.113138184
0.15564305,19.120546,9.638095,0.15355375,0.19787294
0.058938712,16.279055,8.168997,0.118583664,0.199364
0.019241937,21.943794,10.981518,0.031242391,0.043781925
0.11243069,23.38366,11.748045,0.17682645,0.20401779
0.051889516,18.35194,9.201915,0.05439529,0.04260658
0.046492465,27.879574,13.963033,0.0378875,0.11286533
0.0986337,18.217007,9.15782,0.06303691,0.1342442
0.093013115,19.600952,9.846983,0.09415968,0.048226528
0.030861413,18.526495,9.278678,0.027992789,0.08747805
0.02487799,19.833029,9.928953,0.03289282,0.03045339
0.07756434,19.231758,9.654661,0.071337156,0.035655662
0.06639218,15.063774,7.565083,0.078465775,0.056757223
0.09188984,15.709242,7.9005656,0.08961826,0.08858529
0.14944802,10.107547,5.1284976,0.14538774,0.14596958
0.052266385,24.974735,12.513501,0.052469943,0.07084297
0.074467875,21.980257,11.027363,0.066416666,0.08273833
0.052641526,15.436003,7.7443223,0.07399143,0.049052056
0.051639356,27.325176,13.688408,0.06589071,0.14995427
0.014132351,21.447603,10.730867,0.017482601,0.0555897
0.07331877,19.844913,9.959116,0.073365,0.12213523
0.108111694,14.989586,7.5488486,0.12594767,0.14223972
0.065103464,16.20254,8.1338215,0.03554867,0.059842084
0.17477934,18.515005,9.3448925,0.22295201,0.21244557
0.1011155,19.826117,9.963616,0.05077026,0.25042135
0.0022908114,20.31977,10.161031,0.0028637664,0.03174933
0.11357018,17.485558,8.799563,0.11487502,0.074304685
0.11561,21.400415,10.758013,0.12654674,0.10778567
0.19979765,15.54067,7.870234,0.2097476,0.16650896
0.084977455,25.143349,12.614163,0.106198296,0.060952723
0.036053732,18.785494,9.410774,0.0645098,0.11068629
0.009525132,22.784063,11.396794,0.013822899,0.017347328
0.102253646,15.700584,7.901419,0.09315721,0.18964322
0.087362565,16.07664,8.082001,0.10340163,0.059837215
