method,dataset,mean,std
entropy,ID,0.065296605,0.051648248
entropy,OOD_Cross,0.06992266,0.050250426
entropy,OOD_Synth,0.086056106,0.05108841
energy,ID,0.8236615,1.5692356
energy,OOD_Cross,1.2380011,1.9473181
energy,OOD_Synth,1.680501,2.426601
hybrid,ID,0.4444791,0.7959233
hybrid,OOD_Cross,0.6539619,0.98040813
hybrid,OOD_Synth,0.88327867,1.2205489
mc_dropout,ID,0.0024225751,0.0021574497
mc_dropout,OOD_Cross,0.0025165612,0.0020130505
mc_dropout,OOD_Synth,0.002518543,0.0020753522
ensemble,ID,0.032265082,0.02532885
ensemble,OOD_Cross,0.048731003,0.026623683
ensemble,OOD_Synth,0.042476602,0.02611104
