method,dataset,mean,std
entropy,ID,0.0703347,0.053321272
entropy,OOD_Cross,0.03552206,0.028959291
entropy,OOD_Synth,0.098019205,0.058281846
energy,ID,-19.904877,4.7436
energy,OOD_Cross,-24.899843,4.7267447
energy,OOD_Synth,-18.73234,5.450187
hybrid,ID,-9.917271,2.3810623
hybrid,OOD_Cross,-12.43216,2.3672404
hybrid,OOD_Synth,-9.31716,2.7388604
mc_dropout,ID,0.0767935,0.057052325
mc_dropout,OOD_Cross,0.07589378,0.049668297
mc_dropout,OOD_Synth,0.078565806,0.05311802
ensemble,ID,0.097465634,0.063130766
ensemble,OOD_Cross,0.082774185,0.044978216
ensemble,OOD_Synth,0.096130595,0.05062068
