entropy,energy,hybrid,mc_dropout,ensemble
0.12480651,-13.039305,-6.457249,0.119198754,0.1705583
0.0042208442,-19.789547,-9.892663,0.005913509,0.016765473
0.008118996,-16.290785,-8.141333,0.016166363,0.038985945
0.13675028,-15.0889,-7.4760747,0.16072252,0.1022072
0.042212505,-23.082077,-11.519932,0.039286055,0.08096424
0.013734557,-12.705947,-6.346106,0.026542418,0.05508946
0.006803239,-20.310658,-10.151927,0.026433099,0.045672704
0.021351503,-15.145488,-7.562068,0.038499586,0.055592526
0.15200244,-21.526691,-10.687345,0.17219283,0.14441547
0.009249702,-15.518718,-7.754734,0.02867839,0.023475256
0.003464921,-21.447569,-10.722052,0.015062648,0.016768109
0.0569107,-17.93219,-8.937639,0.064250134,0.08738602
0.018781105,-18.918602,-9.44991,0.031310298,0.07273743
0.03886494,-21.962204,-10.96167,0.07261541,0.034306698
0.0065233647,-23.64651,-11.819993,0.016375028,0.009097913
0.041626852,-24.836803,-12.397589,0.048153825,0.0830878
0.10412113,-17.264053,-8.579967,0.12861352,0.19930062
0.13941708,-21.508348,-10.684465,0.14348076,0.16307893
0.067133784,-18.480139,-9.206503,0.10078987,0.045554228
0.034765147,-29.739836,-14.852535,0.046132643,0.054865114
0.09764866,-13.096108,-6.49923,0.114950836,0.0821686
0.021597397,-16.496794,-8.237598,0.016164988,0.03498406
0.015250106,-17.676186,-8.830468,0.030587811,0.030506367
0.013613627,-21.96226,-10.974323,0.03119801,0.031046245
0.05887558,-19.596401,-9.768763,0.090529,0.09824649
0.004133638,-23.351955,-11.673911,0.005059551,0.015923398
0.0367591,-18.496893,-9.230067,0.05327405,0.018379379
0.046693727,-18.89655,-9.424928,0.06411029,0.056847967
0.06642099,-13.924123,-6.928851,0.07590822,0.07677814
0.015986744,-33.774498,-16.879255,0.030678466,0.07413977
0.010247742,-24.36485,-12.1773,0.056990318,0.066362694
0.058024485,-22.730244,-11.336109,0.085503295,0.08727456
0.0634581,-21.41075,-10.673646,0.09810151,0.08581997
0.034135915,-10.98688,-5.4763722,0.055607397,0.10150011
0.009953046,-20.380213,-10.18513,0.0057728975,0.0020390628
0.111393064,-17.579348,-8.733977,0.12905324,0.18257265
0.009984797,-16.966825,-8.47842,0.014244102,0.021247085
0.048101936,-17.15125,-8.551575,0.049770884,0.051010627
0.028108168,-21.029863,-10.500877,0.041157104,0.010714795
0.079520024,-17.935165,-8.927823,0.10122135,0.05482616
0.059412286,-11.170067,-5.5553274,0.07736931,0.08874275
0.006509326,-22.75838,-11.375936,0.014021077,0.028470445
0.027751694,-20.294516,-10.133382,0.04286093,0.047267027
0.045231797,-14.690132,-7.32245,0.067494,0.06194357
0.0023196123,-22.29086,-11.14427,0.00954911,0.064744145
0.05915419,-22.111742,-11.026294,0.0721616,0.09294698
0.109265745,-17.473595,-8.682164,0.074236035,0.11812768
0.06719223,-19.004936,-9.468872,0.10247476,0.061373755
0.19791104,-14.646215,-7.224152,0.22491749,0.24464881
0.03564587,-23.913897,-11.939125,0.05092872,0.04424574
0.064350985,-18.264036,-9.099843,0.10102493,0.062242292
0.029855719,-18.607697,-9.28892,0.038610917,0.084176645
0.076237366,-13.183848,-6.5538054,0.16870584,0.08938099
0.07268476,-15.815949,-7.8716326,0.09336942,0.055330224
0.07536643,-16.086699,-8.005666,0.090237096,0.0754454
0.11015204,-18.977491,-9.43367,0.14598379,0.19684687
0.16726325,-11.66646,-5.7495985,0.20575042,0.17300303
0.076561965,-29.813354,-14.868396,0.08302847,0.020723067
0.09365226,-21.991997,-10.949172,0.09999863,0.14141053
0.1097098,-22.416302,-11.1532955,0.15538214,0.15099138
0.030563496,-14.831142,-7.4002895,0.028478492,0.06828527
0.07245539,-19.906132,-9.916839,0.12924859,0.19708161
0.048120078,-15.697329,-7.824604,0.058432948,0.054465868
0.08312505,-13.985691,-6.951283,0.09879954,0.14120507
0.18893844,-13.037004,-6.424033,0.21326381,0.10693614
0.079585984,-18.856874,-9.388644,0.113236696,0.0944474
0.08985592,-15.958993,-7.9345684,0.111849844,0.17970254
0.04884809,-19.852169,-9.901661,0.03516964,0.046014752
0.08152535,-26.511335,-13.214905,0.076120585,0.21118489
0.11232974,-18.072304,-8.979987,0.097648695,0.0940061
0.13730107,-22.603655,-11.233177,0.12976475,0.12446094
0.01515253,-32.240917,-16.112883,0.032203823,0.018887002
0.14786193,-25.212355,-12.532247,0.18460745,0.15703222
0.02734633,-16.40827,-8.190462,0.04977188,0.141745
0.072597146,-15.981246,-7.9543242,0.09099834,0.040875122
0.08102786,-19.386114,-9.652543,0.116238296,0.0752869
0.18425758,-11.919017,-5.8673797,0.18768483,0.21802719
0.108279966,-14.038252,-6.964986,0.11325755,0.16416226
0.00952563,-25.16075,-12.575612,0.008203587,0.019863928
0.079282574,-17.000082,-8.4604,0.084600225,0.113138184
0.15564305,-19.120546,-9.482451,0.14923678,0.19787294
0.058938712,-16.28397,-8.112515,0.121151224,0.199364
0.019241937,-21.943943,-10.962351,0.028094353,0.043781925
0.11243069,-23.383783,-11.635676,0.1830506,0.20401779
0.051889516,-18.59423,-9.271171,0.054956175,0.04260658
0.046492465,-27.879574,-13.916541,0.04046861,0.11286533
0.0986337,-18.217995,-9.059681,0.06486323,0.1342442
0.093013115,-19.600979,-9.753983,0.08993314,0.048226528
0.030861413,-18.563671,-9.266405,0.031089077,0.08747805
0.02487799,-19.835218,-9.90517,0.032905094,0.03045339
0.07756434,-19.231773,-9.577105,0.072246894,0.035655662
0.06639218,-15.063842,-7.498725,0.07597653,0.056757223
