entropy,energy,hybrid,mc_dropout,ensemble
0.02158745,-25.149223,-12.563818,0.089862324,0.06708154
0.048187006,-18.832043,-9.391928,0.11616561,0.08970428
0.013357489,-19.336294,-9.6614685,0.06266704,0.12172093
0.056868665,-23.3885,-11.665815,0.07501711,0.06560992
0.003521571,-21.446617,-10.721548,0.02188873,0.0488446
0.08679061,-26.868078,-13.390644,0.023578826,0.18341677
0.015251089,-22.544165,-11.264457,0.12428422,0.06213225
0.00015313423,-24.308022,-12.1539345,0.0016835422,0.006327598
0.009914154,-18.016981,-9.003533,0.053454626,0.11922217
0.045023706,-24.437881,-12.196429,0.031075591,0.05423841
0.068732835,-20.097918,-10.014592,0.092393085,0.04282258
7.289252e-05,-29.901064,-14.950496,0.09811835,0.037497595
0.0012863791,-22.804516,-11.401615,0.07020822,0.03848572
0.109350905,-23.99121,-11.94093,0.13516353,0.090900354
0.06933947,-21.076944,-10.503802,0.02513776,0.06594995
0.07460965,-17.452108,-8.688749,0.17729096,0.14242348
0.020360006,-21.473537,-10.726588,0.05610058,0.015035888
0.010914454,-16.586035,-8.28756,0.051735673,0.0827817
0.04677365,-22.6016,-11.277413,0.068234086,0.13408282
0.06424584,-14.537844,-7.236799,0.09806545,0.10485257
0.057070374,-29.514923,-14.728927,0.13489643,0.13786793
9.619841e-05,-31.249807,-15.624856,0.003595233,0.008797596
0.029721111,-33.845108,-16.907694,0.07341385,0.0172854
0.000104557934,-36.060574,-18.030235,0.0042195283,0.00027387412
0.05177114,-24.142109,-12.045169,0.17282051,0.13506958
0.0025281766,-29.33461,-14.666041,0.003837889,0.06471685
0.01556975,-25.283813,-12.634122,0.030337756,0.13957618
0.052304376,-25.767784,-12.857739,0.015268011,0.032163106
0.03677903,-23.98156,-11.97239,0.12897205,0.11980356
0.0010112677,-18.436005,-9.217497,0.112975866,0.09517215
0.052136865,-20.976833,-10.462348,0.12715112,0.093118384
0.008171178,-34.613586,-17.302708,0.102413386,0.13964401
0.043915562,-24.480112,-12.218099,0.023093361,0.013793929
0.00094834936,-24.466188,-12.23262,0.025759779,0.04086917
0.04284076,-17.982327,-8.969743,0.17213632,0.09141937
0.055018045,-22.402615,-11.173799,0.08958072,0.06731639
0.031073485,-23.472406,-11.720667,0.08526811,0.069787495
0.023229163,-23.22193,-11.59935,0.0779831,0.08890758
0.016704572,-18.113327,-9.048311,0.09997181,0.12905774
0.05530108,-26.52973,-13.237214,0.08939084,0.09470581
0.03979639,-29.257534,-14.608869,0.01713446,0.04107296
0.009084217,-35.130146,-17.560532,0.13667864,0.05175285
0.03550605,-21.113045,-10.53877,0.021015475,0.06918259
0.061509017,-29.885279,-14.911885,0.090766884,0.07257782
0.0081427675,-38.989586,-19.49072,0.008614453,0.03629388
0.03065278,-25.73219,-12.850768,0.06584465,0.05855506
0.038615048,-20.461031,-10.211208,0.0856755,0.122493125
0.027490228,-24.249296,-12.110903,0.006433207,0.010982287
0.06149587,-21.261213,-10.599858,0.12113689,0.18666878
0.011897544,-33.24188,-16.61499,0.12035844,0.074401006
0.022105712,-27.031303,-13.504599,0.054381423,0.038366836
0.042923253,-22.019886,-10.9884815,0.14038086,0.048723258
0.023499781,-26.87963,-13.428064,0.0917461,0.058508854
0.007979526,-21.672678,-10.832349,0.107974805,0.15052469
0.04097366,-25.928993,-12.94401,0.07620855,0.07986051
0.030288702,-23.007591,-11.488651,0.060273245,0.15743211
0.0348145,-32.07616,-16.020674,0.11059974,0.1048561
0.01152225,-27.47266,-13.730569,0.039259262,0.09383102
0.02891604,-28.083311,-14.027198,0.12148744,0.11899406
0.00026200953,-27.921085,-13.960412,0.010420441,0.005081498
0.015108031,-19.999277,-9.9920845,0.092405416,0.11846558
0.10705397,-23.64626,-11.769603,0.12988862,0.1496142
0.043389484,-18.779161,-9.367886,0.09783086,0.06597562
0.014159199,-25.502039,-12.74394,0.038122136,0.018566335
0.021911478,-26.788784,-13.383436,0.041932527,0.08668915
0.087774195,-22.352036,-11.132131,0.122523434,0.13340114
