entropy,energy,hybrid,mc_dropout,ensemble
0.16999966,-14.596539,-7.213269,0.19326493,0.20569354
0.0694168,-21.819023,-10.874804,0.08464644,0.051138803
0.06396969,-14.396325,-7.1661777,0.03313241,0.15235123
0.056324024,-16.347431,-8.145554,0.11924533,0.113614164
0.04377161,-21.60833,-10.782279,0.059702627,0.034529008
0.020205833,-17.495169,-8.737481,0.0059402967,0.10647837
0.039905302,-23.415405,-11.68775,0.106676765,0.03149986
0.105494075,-13.089626,-6.492066,0.0030544037,0.09517558
0.13377266,-27.846571,-13.8564,0.03414254,0.06302635
0.09379895,-10.748352,-5.3272767,0.0027692781,0.0108337905
0.046427585,-18.74953,-9.351552,0.037216455,0.106586255
0.08755271,-14.00804,-6.9602437,0.21711665,0.108479425
0.049403403,-20.183327,-10.066961,0.005104552,0.06147878
0.061049674,-16.561249,-8.250099,0.07289241,0.030663144
0.006783021,-36.63461,-18.313913,0.032982394,0.023077372
0.04514308,-20.853523,-10.40419,0.04692897,0.08918438
0.0991161,-21.423758,-10.662321,0.11796399,0.14238897
0.12345624,-21.315594,-10.596068,0.07708438,0.2354755
0.15478775,-15.417558,-7.631385,0.090146944,0.053098347
0.11365211,-10.446063,-5.1662054,0.06315974,0.10577748
0.2595872,-10.357074,-5.0487432,0.0607215,0.040185258
0.041276593,-19.054232,-9.506477,0.06326941,0.03761359
0.1496453,-17.233803,-8.542079,0.08034712,0.060320992
0.056421716,-21.776508,-10.860044,0.029950583,0.056408048
0.17430548,-13.679744,-6.752719,0.10191496,0.07123941
0.07354665,-22.832819,-11.379636,0.0399153,0.015596085
0.06958304,-25.331728,-12.631072,0.0036438822,0.024923151
0.08367855,-24.6586,-12.28746,0.06198586,0.09229706
0.12020546,-12.578108,-6.228951,0.18243913,0.08367464
0.13466296,-18.168217,-9.016777,0.045205668,0.029858071
0.016250357,-28.796078,-14.389914,0.14961497,0.11281757
0.15227407,-19.250834,-9.54928,0.102423094,0.07341936
0.016061544,-23.50044,-11.742189,0.044243023,0.05294991
0.20806664,-9.644595,-4.718264,0.0600997,0.09572692
0.14221424,-11.665608,-5.7616973,0.006616146,0.0011362012
0.11240102,-20.1713,-10.029449,0.062075116,0.12679069
0.17291568,-10.062711,-4.9448977,0.028613927,0.061764047
0.015287174,-22.025267,-11.00499,0.0490052,0.04901048
0.17781943,-12.5951185,-6.2086496,0.08276377,0.10819158
0.084589556,-17.268425,-8.591918,0.07135099,0.13460337
0.056972582,-16.09981,-8.021419,0.22150756,0.0840034
0.011328308,-24.327253,-12.157963,0.0027257153,0.054967377
0.027986463,-31.688976,-15.830495,0.041342,0.031448513
